route_name,direction_group,route_variant_id,cluster_id,heuristic_label,confirmed_type,confirmed,notes
17,direction_B,8,,regular,regular,False,
17,direction_B,9,17_direction_B_cluster_1,blocked,blocked,False,
17,direction_B,10,17_direction_B_cluster_2,blocked,blocked,False,
17,direction_B,11,,regular,regular,False,
17,direction_B,12,,regular,regular,False,
17,direction_B,13,,regular,regular,False,
17,direction_B,14,17_direction_B_cluster_2,blocked,blocked,False,
17,direction_B,15,17_direction_B_cluster_1,blocked,blocked,False,
17,direction_B,16,17_direction_B_cluster_1,blocked,blocked,False,
9,direction_A,1,,regular,regular,False,
9,direction_A,2,,regular,regular,False,
9,direction_A,3,,regular,regular,False,
9,direction_A,4,,regular,regular,False,
9,direction_A,5,,regular,regular,False,
9,direction_A,6,,regular,regular,False,
9,direction_A,7,9_direction_A_cluster_1,blocked,blocked,False,
9,direction_A,8,,regular,regular,False,
9,direction_A,9,,regular,regular,False,
9,direction_A,10,,regular,regular,False,
9,direction_A,11,,regular,regular,False,
9,direction_A,12,,regular,regular,False,
9,direction_A,13,,regular,regular,False,
9,direction_A,14,,regular,regular,False,
9,direction_A,15,,regular,regular,False,
9,direction_A,16,,regular,regular,False,
9,direction_A,17,,regular,regular,False,
9,direction_A,18,,regular,regular,False,
9,direction_A,19,9_direction_A_cluster_2,blocked,blocked,False,
9,direction_A,20,,regular,regular,False,
9,direction_A,21,,regular,regular,False,
9,direction_B,1,,regular,regular,False,
9,direction_B,2,9_direction_B_cluster_1,blocked,blocked,False,
9,direction_B,3,,regular,regular,False,
9,direction_B,4,9_direction_B_cluster_1,blocked,blocked,False,
9,direction_B,5,,regular,regular,False,
9,direction_B,6,,regular,regular,False,
9,direction_B,7,,regular,regular,False,
9,direction_B,8,,regular,regular,False,
9,direction_B,9,,regular,regular,False,
9,direction_B,10,,regular,regular,False,
97,direction_A,1,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,2,,regular,regular,False,
97,direction_A,3,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,4,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,5,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,6,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,7,,regular,regular,False,
97,direction_A,8,,regular,regular,False,
97,direction_A,9,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,10,,regular,regular,False,
97,direction_A,11,97_direction_A_cluster_1,blocked,blocked,False,
