route_id,month,DayOfWeek,HourSourceTime,StopSequence_Rishui,n_rows_in_group,n_distinct_stopcodes,winning_stopcode,winning_stopcode_votes,ambiguous
11108,1,2,9,9,3,2,953,2,False
11108,1,2,9,10,3,2,954,2,False
5502,1,3,9,42,3,2,6028,2,False
11107,1,3,9,67,3,2,3093,2,False
11108,1,3,9,1,3,2,1711,2,False
11108,1,3,9,2,3,2,6189,2,False
11108,1,3,9,3,3,2,202,2,False
11108,1,3,9,4,3,2,1586,2,False
11108,1,3,9,5,3,2,1525,2,False
11108,1,3,9,6,3,2,947,2,False
11108,1,3,9,7,3,2,948,2,False
11108,1,3,9,8,3,2,952,2,False
11108,1,3,9,9,3,2,953,2,False
11108,1,3,9,10,3,2,954,2,False
5502,1,4,9,42,3,2,6028,2,False
11107,1,4,9,67,3,2,3093,2,False
11108,1,4,9,1,3,2,1711,2,False
11108,1,4,9,2,3,2,6189,2,False
11108,1,4,9,3,3,2,202,2,False
11108,1,4,9,4,3,2,1586,2,False
11108,1,4,9,5,3,2,1525,2,False
11108,1,4,9,6,3,2,947,2,False
11108,1,4,9,7,3,2,948,2,False
11108,1,4,9,8,3,2,952,2,False
11108,1,4,9,9,3,2,953,2,False
11108,1,4,9,10,3,2,954,2,False
5502,1,5,9,42,3,2,6028,2,False
11107,1,5,9,67,3,2,3093,2,False
11108,1,5,9,1,3,2,1711,2,False
11108,1,5,9,2,3,2,6189,2,False
11108,1,5,9,3,3,2,202,2,False
11108,1,5,9,4,3,2,1586,2,False
11108,1,5,9,5,3,2,1525,2,False
11108,1,5,9,6,3,2,947,2,False
11108,1,5,9,7,3,2,948,2,False
11108,1,5,9,8,3,2,952,2,False
11108,1,5,9,9,3,2,953,2,False
11108,1,5,9,10,3,2,954,2,False
5502,1,6,9,42,3,2,6028,2,False
11107,1,6,9,67,3,2,3093,2,False
11108,1,6,9,1,3,2,1711,2,False
11108,1,6,9,2,3,2,6189,2,False
11108,1,6,9,3,3,2,202,2,False
11108,1,6,9,4,3,2,1586,2,False
11108,1,6,9,5,3,2,1525,2,False
11108,1,6,9,6,3,2,947,2,False
11108,1,6,9,7,3,2,948,2,False
11108,1,6,9,8,3,2,952,2,False
11108,1,6,9,9,3,2,953,2,False
11108,1,6,9,10,3,2,954,2,False
5502,1,1,10,42,3,2,6028,2,False
11107,1,1,10,67,3,2,3093,2,False
11108,1,1,10,1,3,2,1711,2,False
11108,1,1,10,2,3,2,6189,2,False
11108,1,1,10,3,3,2,202,2,False
11108,1,1,10,4,3,2,1586,2,False
11108,1,1,10,5,3,2,1525,2,False
11108,1,1,10,6,3,2,947,2,False
11108,1,1,10,7,3,2,948,2,False
11108,1,1,10,8,3,2,952,2,False
11108,1,1,10,9,3,2,953,2,False
11108,1,1,10,10,3,2,954,2,False
5502,1,2,10,42,3,2,6028,2,False
11107,1,2,10,67,3,2,3093,2,False
11108,1,2,10,1,3,2,1711,2,False
11108,1,2,10,2,3,2,6189,2,False
11108,1,2,10,3,3,2,202,2,False
11108,1,2,10,4,3,2,1586,2,False
11108,1,2,10,5,3,2,1525,2,False
11108,1,2,10,6,3,2,947,2,False
11108,1,2,10,7,3,2,948,2,False
11108,1,2,10,8,3,2,952,2,False
11108,1,2,10,9,3,2,953,2,False
11108,1,2,10,10,3,2,954,2,False
5502,1,3,10,42,3,2,6028,2,False
11107,1,3,10,67,3,2,3093,2,False
11108,1,3,10,1,3,2,1711,2,False
11108,1,3,10,2,3,2,6189,2,False
11108,1,3,10,3,3,2,202,2,False
11108,1,3,10,4,3,2,1586,2,False
11108,1,3,10,5,3,2,1525,2,False
11108,1,3,10,6,3,2,947,2,False
11108,1,3,10,7,3,2,948,2,False
11108,1,3,10,8,3,2,952,2,False
11108,1,3,10,9,3,2,953,2,False
11108,1,3,10,10,3,2,954,2,False
5502,1,4,10,42,3,2,6028,2,False
11107,1,4,10,67,3,2,3093,2,False
11108,1,4,10,1,3,2,1711,2,False
11108,1,4,10,2,3,2,6189,2,False
11108,1,4,10,3,3,2,202,2,False
11108,1,4,10,4,3,2,1586,2,False
11108,1,4,10,5,3,2,1525,2,False
11108,1,4,10,6,3,2,947,2,False
11108,1,4,10,7,3,2,948,2,False
11108,1,4,10,8,3,2,952,2,False
11108,1,4,10,9,3,2,953,2,False
11108,1,4,10,10,3,2,954,2,False
5502,1,5,10,42,3,2,6028,2,False
11107,1,5,10,67,3,2,3093,2,False
11108,1,5,10,1,3,2,1711,2,False
11108,1,5,10,2,3,2,6189,2,False
11108,1,5,10,3,3,2,202,2,False
11108,1,5,10,4,3,2,1586,2,False
11108,1,5,10,5,3,2,1525,2,False
11108,1,5,10,6,3,2,947,2,False
11108,1,5,10,7,3,2,948,2,False
11108,1,5,10,8,3,2,952,2,False
11108,1,5,10,9,3,2,953,2,False
11108,1,5,10,10,3,2,954,2,False
5502,1,6,10,42,3,2,6028,2,False
11107,1,6,10,67,3,2,3093,2,False
11108,1,6,10,1,3,2,1711,2,False
11108,1,6,10,2,3,2,6189,2,False
11108,1,6,10,3,3,2,202,2,False
11108,1,6,10,4,3,2,1586,2,False
11108,1,6,10,5,3,2,1525,2,False
11108,1,6,10,6,3,2,947,2,False
11108,1,6,10,7,3,2,948,2,False
11108,1,6,10,8,3,2,952,2,False
11108,1,6,10,9,3,2,953,2,False
11108,1,6,10,10,3,2,954,2,False
5502,1,1,11,42,3,2,6028,2,False
11107,1,1,11,67,3,2,3093,2,False
11108,1,1,11,1,3,2,1711,2,False
11108,1,1,11,2,3,2,6189,2,False
11108,1,1,11,3,3,2,202,2,False
11108,1,1,11,4,3,2,1586,2,False
11108,1,1,11,5,3,2,1525,2,False
11108,1,1,11,6,3,2,947,2,False
11108,1,1,11,7,3,2,948,2,False
11108,1,1,11,8,3,2,952,2,False
11108,1,1,11,9,3,2,953,2,False
11108,1,1,11,10,3,2,954,2,False
5502,1,2,11,42,3,2,6028,2,False
11107,1,2,11,67,3,2,3093,2,False
11108,1,2,11,1,3,2,1711,2,False
11108,1,2,11,2,3,2,6189,2,False
11108,1,2,11,3,3,2,202,2,False
11108,1,2,11,4,3,2,1586,2,False
11108,1,2,11,5,3,2,1525,2,False
11108,1,2,11,6,3,2,947,2,False
11108,1,2,11,7,3,2,948,2,False
11108,1,2,11,8,3,2,952,2,False
11108,1,2,11,9,3,2,953,2,False
11108,1,2,11,10,3,2,954,2,False
5502,1,3,11,42,3,2,6028,2,False
11107,1,3,11,67,3,2,3093,2,False
11108,1,3,11,1,3,2,1711,2,False
11108,1,3,11,2,3,2,6189,2,False
11108,1,3,11,3,3,2,202,2,False
11108,1,3,11,4,3,2,1586,2,False
11108,1,3,11,5,3,2,1525,2,False
11108,1,3,11,6,3,2,947,2,False
11108,1,3,11,7,3,2,948,2,False
11108,1,3,11,8,3,2,952,2,False
11108,1,3,11,9,3,2,953,2,False
11108,1,3,11,10,3,2,954,2,False
5502,1,4,11,42,3,2,6028,2,False
11107,1,4,11,67,3,2,3093,2,False
11108,1,4,11,1,3,2,1711,2,False
11108,1,4,11,2,3,2,6189,2,False
11108,1,4,11,3,3,2,202,2,False
11108,1,4,11,4,3,2,1586,2,False
11108,1,4,11,5,3,2,1525,2,False
11108,1,4,11,6,3,2,947,2,False
11108,1,4,11,7,3,2,948,2,False
11108,1,4,11,8,3,2,952,2,False
11108,1,4,11,9,3,2,953,2,False
11108,1,4,11,10,3,2,954,2,False
5502,1,5,11,42,3,2,6028,2,False
11107,1,5,11,67,3,2,3093,2,False
11108,1,5,11,1,3,2,1711,2,False
11108,1,5,11,2,3,2,6189,2,False
11108,1,5,11,3,3,2,202,2,False
11108,1,5,11,4,3,2,1586,2,False
11108,1,5,11,5,3,2,1525,2,False
11108,1,5,11,6,3,2,947,2,False
11108,1,5,11,7,3,2,948,2,False
11108,1,5,11,8,3,2,952,2,False
11108,1,5,11,9,3,2,953,2,False
11108,1,5,11,10,3,2,954,2,False
5502,1,6,11,42,3,2,6028,2,False
11107,1,6,11,67,3,2,3093,2,False
11108,1,6,11,1,3,2,1711,2,False
11108,1,6,11,2,3,2,6189,2,False
11108,1,6,11,3,3,2,202,2,False
11108,1,6,11,4,3,2,1586,2,False
11108,1,6,11,5,3,2,1525,2,False
11108,1,6,11,6,3,2,947,2,False
11108,1,6,11,7,3,2,948,2,False
11108,1,6,11,8,3,2,952,2,False
11108,1,6,11,9,3,2,953,2,False
11108,1,6,11,10,3,2,954,2,False
5502,1,1,12,42,4,2,6286,2,True
11107,1,1,12,67,4,2,2021,2,True
11108,1,1,12,1,4,2,5853,2,True
11108,1,1,12,2,4,2,202,2,True
11108,1,1,12,3,4,2,1586,2,True
11108,1,1,12,4,4,2,1525,2,True
11108,1,1,12,5,4,2,947,2,True
11108,1,1,12,6,4,2,948,2,True
11108,1,1,12,7,4,2,952,2,True
11108,1,1,12,8,4,2,953,2,True
11108,1,1,12,9,4,2,954,2,True
11108,1,1,12,10,4,2,9911,2,True
5502,1,2,12,42,4,2,6028,2,True
11107,1,2,12,67,4,2,3093,2,True
11108,1,2,12,1,4,2,1711,2,True
11108,1,2,12,2,4,2,6189,2,True
11108,1,2,12,3,4,2,202,2,True
11108,1,2,12,4,4,2,1586,2,True
11108,1,2,12,5,4,2,1525,2,True
11108,1,2,12,6,4,2,947,2,True
11108,1,2,12,7,4,2,948,2,True
11108,1,2,12,8,4,2,952,2,True
11108,1,2,12,9,4,2,953,2,True
11108,1,2,12,10,4,2,954,2,True
5502,1,3,12,42,4,2,6286,2,True
11107,1,3,12,67,4,2,2021,2,True
11108,1,3,12,1,4,2,5853,2,True
11108,1,3,12,2,4,2,202,2,True
11108,1,3,12,3,4,2,1586,2,True
11108,1,3,12,4,4,2,1525,2,True
11108,1,3,12,5,4,2,947,2,True
11108,1,3,12,6,4,2,948,2,True
11108,1,3,12,7,4,2,952,2,True
11108,1,3,12,8,4,2,953,2,True
11108,1,3,12,9,4,2,954,2,True
11108,1,3,12,10,4,2,9911,2,True
5502,1,4,12,42,4,2,6286,2,True
11107,1,4,12,67,4,2,3093,2,True
11108,1,4,12,1,4,2,1711,2,True
11108,1,4,12,2,4,2,6189,2,True
11108,1,4,12,3,4,2,202,2,True
11108,1,4,12,4,4,2,1586,2,True
11108,1,4,12,5,4,2,1525,2,True
11108,1,4,12,6,4,2,947,2,True
11108,1,4,12,7,4,2,948,2,True
