route_name,direction_group,route_variant_id,count,n_stops,ref_n_stops,n_missing,missing_fraction,missing_stop_names,heuristic_label,cluster_id,in_display_set
17,direction_B,10,1,43,49,6,0.122,"['קציר/קלרמון גנו', 'דרך הר הזיתים/נשאשיבי', 'דרך שכם/טובלר', 'דרך שכם/לואי ונסן', 'משרד המשפטים/צלאח א דין', 'צומת עמר בן אלעס']",blocked,17_direction_B_cluster_2,False
17,direction_B,14,1,43,49,6,0.122,"['בית ספר לחינוך/בנימין מזר', 'דרך הר הזיתים/נשאשיבי', 'דרך שכם/טובלר', 'דרך שכם/לואי ונסן', 'משרד המשפטים/צלאח א דין', 'צומת עמר בן אלעס']",blocked,17_direction_B_cluster_2,False
17,direction_B,1,34,46,49,3,0.061,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",regular,,True
17,direction_B,3,10,48,49,1,0.02,['עזה/הרב ברלין'],regular,,True
17,direction_B,4,4,48,49,1,0.02,['בית ספר לחינוך/בנימין מזר'],regular,,False
17,direction_B,5,2,47,49,2,0.041,"[""עזה/רד''ק"", 'עזה/הרב ברלין']",regular,,False
17,direction_B,6,2,46,49,3,0.061,"[""האוניברסיטה העברית/שד' צ'רצ'יל"", ""הדסה הר הצופים/שד' צ'רצ'יל"", 'עזה/הרב ברלין']",regular,,False
17,direction_B,8,1,48,49,1,0.02,['אוסישקין/נרקיס'],regular,,False
17,direction_B,11,1,48,49,1,0.02,"[""עזה/רד''ק""]",regular,,False
17,direction_B,12,1,48,49,1,0.02,['ארלוזורוב/שדרות בן מיימון'],regular,,False
17,direction_B,13,1,46,49,3,0.061,"['דרך שכם/לואי ונסן', 'משרד המשפטים/צלאח א דין', 'צומת עמר בן אלעס']",regular,,False
19,direction_A,1,84,36,42,6,0.143,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,19_direction_A_cluster_1,True
19,direction_A,11,1,34,42,9,0.214,"['כניסה ראשית/הדסה עין כרם', 'מרכז הסטודנט/הדסה עין כרם', 'צומת אורה', 'עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,19_direction_A_cluster_1,True
19,direction_A,17,1,35,42,7,0.167,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס', 'מחנה עופרית/מרטין בובר']",blocked,19_direction_A_cluster_1,True
19,direction_A,14,1,37,42,5,0.119,"[""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר']",blocked,19_direction_A_cluster_2,False
19,direction_A,2,37,40,42,3,0.071,"['כניסה ראשית/הדסה עין כרם', 'מרכז הסטודנט/הדסה עין כרם', 'צומת אורה']",regular,,True
19,direction_A,3,7,39,42,3,0.071,"[""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,True
19,direction_A,4,5,39,42,3,0.071,"['מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']",regular,,True
19,direction_A,5,4,41,42,1,0.024,['מסוף הר הצופים/מרטין בובר'],regular,,False
19,direction_A,6,2,40,42,2,0.048,"[""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,True
19,direction_A,7,2,41,42,1,0.024,['אוסישקין/נרקיס'],regular,,True
19,direction_A,8,1,41,42,1,0.024,['עזה/הרב ברלין'],regular,,True
19,direction_A,9,1,39,42,3,0.071,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור']",regular,,True
19,direction_A,10,1,38,42,4,0.095,"['עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,True
19,direction_A,12,1,41,42,1,0.024,"[""עזה/רד''ק""]",regular,,True
19,direction_A,13,1,40,42,2,0.048,"[""עזה/רד''ק"", 'עזה/בלפור']",regular,,True
19,direction_A,15,1,38,42,4,0.095,"[""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""האוניברסיטה העברית/שד' צ'רצ'יל""]",regular,,False
19,direction_A,16,1,38,42,4,0.095,"[""עזה/רד''ק"", ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,True
