stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
11612,5987,הסדנא/פייר קניג,רחוב: הסדנא 14 עיר: ירושלים רציף:  קומה: ,31.75018,35.213997
11613,5988,יד חרוצים/התנופה,רחוב: יד חרוצים 23 עיר: ירושלים רציף:  קומה: ,31.750171,35.215654
11629,6004,אריה דולצ'ין/יעקב צור,רחוב: אריה דולצ'ין 124 עיר: ירושלים רציף:  קומה: ,31.751153,35.16763
11706,6081,דולצ'ין/נחמיה,רחוב: אריה דולצ'ין 108 עיר: ירושלים רציף:  קומה: ,31.748795,35.167978
11811,9882,קוליץ/שולוב,רחוב: דרך חיים ע. קוליץ עיר: ירושלים רציף:  קומה: ,31.750949,35.178999
11836,9907,מדרשת נשמת/ברל לוקר,רחוב: ברל לוקר 21 עיר: ירושלים רציף:  קומה: ,31.749373,35.201965
11837,9908,ברל לוקר/ארסט,רחוב: ברל לוקר 7 עיר: ירושלים רציף:  קומה: ,31.751127,35.200837
11850,9921,יד חרוצים/פועלי צדק,רחוב: יד חרוצים 9 עיר: ירושלים רציף:  קומה: ,31.752369,35.216619
11878,9949,אהל יהושע/מנחת יצחק,רחוב: אוהל יהושע עיר: ירושלים רציף:  קומה: ,31.795719,35.210073
11904,9975,דולצ'ין/קוליץ,רחוב: אריה דולצ'ין 1 עיר: ירושלים רציף:  קומה: ,31.751799,35.167462
11910,9981,צומת פת/יהודה הנשיא,רחוב: יהודה הנשיא 4 עיר: ירושלים רציף:  קומה: ,31.756102,35.199188
11924,9995,דולצ'ין/יורם רונן,רחוב: אריה דולצ'ין 31 עיר: ירושלים רציף:  קומה: ,31.74791,35.171204
11928,9999,אהרון קציר/שדרות צ'רצ'יל,רחוב: אהרון קציר עיר: ירושלים רציף:  קומה: ,31.79708,35.236623
34213,6124,בי''ס היובל/דולצ'ין,רחוב: אריה דולצ'ין 25 עיר: ירושלים רציף:  קומה: ,31.749309,35.170777
36798,6214,שדרות משה דיין/מזל טלה,רחוב: שדרות משה דיין 15 עיר: ירושלים רציף:  קומה: ,31.835831,35.23401
37260,6229,ביטוח לאומי,רחוב: שדרות וייצמן עיר: ירושלים רציף:  קומה: ,31.785239,35.200539
37730,6269,בן צבי/רופין,רחוב: שדרות בן צבי 39 עיר: ירושלים רציף:  קומה: ,31.777844,35.20928
37731,6268,צומת משה ברעם,רחוב: דרך משה ברעם עיר: ירושלים רציף:  קומה: ,31.747019,35.209521
37732,6267,האומן/ברעם,רחוב: האומן 5 עיר: ירושלים רציף:  קומה: ,31.7473,35.212323
