route_name,day_label,month,share,n
14,Fri,9,0.0,9
14,Fri,10,0.0,5
14,Fri,11,0.0,19
14,Fri,12,0.0,18
14,Sat,1,0.0,9
14,Sat,2,0.0,9
14,Sat,3,0.0,7
14,Sat,4,0.0,3
14,Sat,5,0.0,4
14,Sat,6,0.0,5
14,Sat,7,0.0,4
14,Sat,8,0.0,5
14,Sat,9,0.0,3
14,Sat,10,0.0,7
14,Sat,11,0.0,9
14,Sat,12,0.0,0
15,Sun,1,0.0,20
15,Sun,2,0.0,0
15,Sun,3,0.0,20
15,Sun,4,0.0,20
15,Sun,5,0.0,20
15,Sun,6,0.0,20
15,Sun,7,0.0,20
15,Sun,8,0.0,7
15,Sun,9,0.0,20
15,Sun,10,0.0,20
15,Sun,11,0.0,20
15,Sun,12,0.0,20
15,Mon,1,0.0,20
15,Mon,2,0.0,0
15,Mon,3,0.0,20
15,Mon,4,0.0,20
15,Mon,5,0.15,20
15,Mon,6,0.0,20
15,Mon,7,0.0,20
15,Mon,8,0.0,7
15,Mon,9,0.0,20
15,Mon,10,0.0,20
15,Mon,11,0.0,20
15,Mon,12,0.0,20
15,Tue,1,0.0,20
15,Tue,2,0.0,0
15,Tue,3,0.0,20
15,Tue,4,0.0,20
15,Tue,5,0.05,20
15,Tue,6,0.0,20
15,Tue,7,0.0,20
15,Tue,8,0.0,7
15,Tue,9,0.0,20
15,Tue,10,0.0,20
15,Tue,11,0.0,20
15,Tue,12,0.0,20
15,Wed,1,0.0,20
15,Wed,2,0.0,0
15,Wed,3,0.0,20
15,Wed,4,0.0,20
15,Wed,5,0.0,20
15,Wed,6,0.0,20
15,Wed,7,0.0,20
15,Wed,8,0.0,7
15,Wed,9,0.0,20
15,Wed,10,0.0,20
15,Wed,11,0.0,20
15,Wed,12,0.0,20
15,Thu,1,0.0,20
15,Thu,2,0.0,0
15,Thu,3,0.0,20
15,Thu,4,0.0,20
15,Thu,5,0.0,20
15,Thu,6,0.0,20
15,Thu,7,0.0,20
15,Thu,8,0.0,7
15,Thu,9,0.0,20
15,Thu,10,0.0,19
15,Thu,11,0.0,20
15,Thu,12,0.0,20
15,Fri,1,0.0,10
15,Fri,2,0.0,0
15,Fri,3,0.0,12
15,Fri,4,0.0,13
15,Fri,5,0.0,14
15,Fri,6,0.0,12
15,Fri,7,0.0,12
15,Fri,8,0.0,0
15,Fri,9,0.0,11
15,Fri,10,0.0,11
