bearing,distance_from_journey_start,distance_from_siri_ride_stop_meters,id,lat,lon,recorded_at_time,siri_ride__duration_minutes,siri_ride__first_vehicle_location_id,siri_ride__gtfs_ride_id,siri_ride__id,siri_ride__journey_ref,siri_ride__last_vehicle_location_id,siri_ride__scheduled_start_time,siri_ride__vehicle_ref,siri_ride_stop_id,siri_route__id,siri_route__line_ref,siri_route__operator_ref,siri_snapshot__snapshot_id,siri_snapshot_id,velocity
335,11173,,7795977609,31.783878,35.229233,2026-05-02T02:17:38+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441384,8218,30568,42,2026/05/02/02/17,2208592,22
172,3582,,7795977610,31.837409,35.229599,2026-05-02T02:17:43+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441385,8218,30568,42,2026/05/02/02/17,2208592,11
283,0,,7795977611,31.862936,35.227373,2026-05-02T02:17:29+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/17,2208592,0
338,11623,,7795977637,31.786491,35.230731,2026-05-02T02:18:38+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441384,8218,30568,42,2026/05/02/02/18,2208593,17
148,4250,,7795977638,31.832003,35.233421,2026-05-02T02:18:42+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441398,8218,30568,42,2026/05/02/02/18,2208593,93
251,0,,7795977639,31.862909,35.227347,2026-05-02T02:18:30+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/18,2208593,0
353,12163,,7795977666,31.79039,35.228891,2026-05-02T02:19:38+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441410,8218,30568,42,2026/05/02/02/19,2208594,31
203,5270,,7795977667,31.823643,35.234831,2026-05-02T02:19:43+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441411,8218,30568,42,2026/05/02/02/19,2208594,78
295,0,,7795977668,31.862999,35.227318,2026-05-02T02:19:30+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/19,2208594,1
301,12706,,7795977692,31.79299,35.230405,2026-05-02T02:20:39+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441422,8218,30568,42,2026/05/02/02/20,2208595,29
200,5620,,7795977693,31.820949,35.233432,2026-05-02T02:19:59+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441411,8218,30568,42,2026/05/02/02/20,2208595,77
163,0,,7795977694,31.862925,35.227294,2026-05-02T02:20:30+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/20,2208595,1
24,13233,,7795977719,31.796895,35.231359,2026-05-02T02:21:39+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441436,8218,30568,42,2026/05/02/02/21,2208596,7
201,7370,,7795977720,31.807777,35.235435,2026-05-02T02:21:30+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441411,8218,30568,42,2026/05/02/02/21,2208596,68
174,0,,7795977721,31.862883,35.227354,2026-05-02T02:21:33+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/21,2208596,1
18,13333,,7795977745,31.797541,35.231651,2026-05-02T02:22:40+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441436,8218,30568,42,2026/05/02/02/22,2208597,43
206,8320,,7795977746,31.800061,35.232905,2026-05-02T02:22:30+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441411,8218,30568,42,2026/05/02/02/22,2208597,1
340,0,,7795977747,31.862917,35.227313,2026-05-02T02:22:35+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/22,2208597,0
27,13944,,7795977772,31.802105,35.234206,2026-05-02T02:23:40+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441469,8218,30568,42,2026/05/02/02/23,2208598,59
165,8570,,7795977773,31.798031,35.231458,2026-05-02T02:23:30+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441411,8218,30568,42,2026/05/02/02/23,2208598,23
107,0,,7795977774,31.862931,35.227296,2026-05-02T02:23:35+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/23,2208598,4
25,15094,,7795977800,31.811195,35.238337,2026-05-02T02:24:40+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441469,8218,30568,42,2026/05/02/02/24,2208599,68
127,8770,,7795977801,31.796803,35.231905,2026-05-02T02:24:41+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441487,8218,30568,42,2026/05/02/02/24,2208599,0
263,550,,7795977802,31.861088,35.222314,2026-05-02T02:24:35+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441372,8218,30568,42,2026/05/02/02/24,2208599,64
357,16194,,7795977837,31.819375,35.233251,2026-05-02T02:25:41+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441469,8218,30568,42,2026/05/02/02/25,2208600,71
185,9204,,7795977838,31.794102,35.234648,2026-05-02T02:25:40+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441509,8218,30568,42,2026/05/02/02/25,2208600,23
160,1221,,7795977839,31.856731,35.222992,2026-05-02T02:25:39+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441510,8218,30568,42,2026/05/02/02/25,2208600,48
2,17144,,7795977878,31.826979,35.236291,2026-05-02T02:26:41+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441469,8218,30568,42,2026/05/02/02/26,2208601,0
278,9683,,7795977879,31.792622,35.230556,2026-05-02T02:26:31+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441528,8218,30568,42,2026/05/02/02/26,2208601,34
148,1801,,7795977880,31.851624,35.225329,2026-05-02T02:26:36+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441529,8218,30568,42,2026/05/02/02/26,2208601,57
327,17663,,7795977920,31.831491,35.234077,2026-05-02T02:27:41+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441546,8218,30568,42,2026/05/02/02/27,2208602,76
225,10156,,7795977921,31.790124,35.22875,2026-05-02T02:27:31+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441547,8218,30568,42,2026/05/02/02/27,2208602,17
154,2363,,7795977922,31.847876,35.228158,2026-05-02T02:27:37+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441548,8218,30568,42,2026/05/02/02/27,2208602,53
6,18793,,7795977965,31.840396,35.230001,2026-05-02T02:28:42+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441567,8218,30568,42,2026/05/02/02/28,2208603,42
141,10612,,7795977966,31.786752,35.230521,2026-05-02T02:28:33+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441568,8218,30568,42,2026/05/02/02/28,2208603,26
164,2927,,7795977967,31.843323,35.229704,2026-05-02T02:28:37+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441569,8218,30568,42,2026/05/02/02/28,2208603,19
344,19428,,7795978010,31.845682,35.228776,2026-05-02T02:29:42+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441587,8218,30568,42,2026/05/02/02/29,2208604,48
175,10979,,7795978011,31.784602,35.228958,2026-05-02T02:29:41+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441588,8218,30568,42,2026/05/02/02/29,2208604,30
184,3382,,7795978012,31.838838,35.229739,2026-05-02T02:29:37+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441589,8218,30568,42,2026/05/02/02/29,2208604,55
327,20139,,7795978057,31.851388,35.225525,2026-05-02T02:30:42+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441610,8218,30568,42,2026/05/02/02/30,2208605,32
234,11029,,7795978058,31.784272,35.228716,2026-05-02T02:29:47+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441611,8218,30568,42,2026/05/02/02/30,2208605,29
167,4750,,7795978059,31.828003,35.235918,2026-05-02T02:30:38+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441612,8218,30568,42,2026/05/02/02/30,2208605,50
339,20776,,7795978109,31.856542,35.223078,2026-05-02T02:31:42+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441643,8218,30568,42,2026/05/02/02/31,2208606,42
65,11523,,7795978110,31.786014,35.229927,2026-05-02T02:31:33+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441644,8218,30568,42,2026/05/02/02/31,2208606,26
182,4900,,7795978111,31.82675,35.235982,2026-05-02T02:31:40+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441645,8218,30568,42,2026/05/02/02/31,2208606,0
328,0,,7795978112,31.862985,35.227402,2026-05-02T02:31:43+00:00,,,,135091904,2026-05-02-585415429,,2026-05-02T02:36:00+00:00,38661901,3445441646,8218,30568,42,2026/05/02/02/31,2208606,1
81,21366,,7795978163,31.86098,35.221632,2026-05-02T02:32:43+00:00,,,,135091852,2026-05-02-585372849,,2026-05-02T02:00:00+00:00,38658501,3445441677,8218,30568,42,2026/05/02/02/32,2208607,0
351,12113,,7795978164,31.78995,35.228963,2026-05-02T02:32:37+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441678,8218,30568,42,2026/05/02/02/32,2208607,29
146,6020,,7795978165,31.817439,35.233865,2026-05-02T02:32:38+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441645,8218,30568,42,2026/05/02/02/32,2208607,98
339,0,,7795978166,31.863057,35.22742,2026-05-02T02:32:44+00:00,,,,135091904,2026-05-02-585415429,,2026-05-02T02:36:00+00:00,38661901,3445441646,8218,30568,42,2026/05/02/02/32,2208607,0
299,12706,,7795978218,31.792927,35.230521,2026-05-02T02:33:42+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441715,8218,30568,42,2026/05/02/02/34,2208608,60
188,7620,,7795978219,31.805748,35.235065,2026-05-02T02:33:41+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441645,8218,30568,42,2026/05/02/02/34,2208608,86
211,0,,7795978220,31.863017,35.227396,2026-05-02T02:33:44+00:00,,,,135091904,2026-05-02-585415429,,2026-05-02T02:36:00+00:00,38661901,3445441646,8218,30568,42,2026/05/02/02/34,2208608,0
26,13233,,7795978270,31.796796,35.231313,2026-05-02T02:34:35+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441746,8218,30568,42,2026/05/02/02/35,2208609,24
222,8520,,7795978271,31.798259,35.231548,2026-05-02T02:34:43+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441645,8218,30568,42,2026/05/02/02/35,2208609,11
211,0,,7795978272,31.863018,35.227397,2026-05-02T02:34:29+00:00,,,,135091904,2026-05-02-585415429,,2026-05-02T02:36:00+00:00,38661901,3445441646,8218,30568,42,2026/05/02/02/35,2208609,0
25,13233,,7795978327,31.796972,35.231413,2026-05-02T02:35:35+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441746,8218,30568,42,2026/05/02/02/36,2208610,10
199,8670,,7795978328,31.797304,35.23148,2026-05-02T02:35:44+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441645,8218,30568,42,2026/05/02/02/36,2208610,0
175,0,,7795978329,31.862983,35.227412,2026-05-02T02:35:30+00:00,,,,135091904,2026-05-02-585415429,,2026-05-02T02:36:00+00:00,38661901,3445441646,8218,30568,42,2026/05/02/02/36,2208610,0
29,13779,,7795978389,31.800397,35.233308,2026-05-02T02:36:35+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441810,8218,30568,42,2026/05/02/02/37,2208611,16
171,9111,,7795978390,31.794622,35.234532,2026-05-02T02:36:44+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441811,8218,30568,42,2026/05/02/02/37,2208611,5
292,0,,7795978391,31.863358,35.227206,2026-05-02T02:36:30+00:00,,,,135091904,2026-05-02-585415429,,2026-05-02T02:36:00+00:00,38661901,3445441646,8218,30568,42,2026/05/02/02/37,2208611,21
15,14044,,7795978450,31.802701,35.234513,2026-05-02T02:37:35+00:00,,,,135091863,2026-05-02-585415427,,2026-05-02T02:12:00+00:00,5237039,3445441810,8218,30568,42,2026/05/02/02/38,2208612,15
250,9583,,7795978451,31.79274,35.23141,2026-05-02T02:37:35+00:00,,,,135091873,2026-05-02-585415428,,2026-05-02T02:24:00+00:00,17665902,3445441842,8218,30568,42,2026/05/02/02/38,2208612,35
80,0,,7795979747,31.862977,35.227451,2026-05-02T02:55:42+00:00,,,,135091964,2026-05-02-584902384,,2026-05-02T03:00:00+00:00,8128084,3445442608,8218,30568,42,2026/05/02/02/56,2208630,0
80,0,,7795979848,31.862976,35.227454,2026-05-02T02:56:12+00:00,,,,135091964,2026-05-02-584902384,,2026-05-02T03:00:00+00:00,8128084,3445442608,8218,30568,42,2026/05/02/02/57,2208631,0
306,0,,7795979952,31.863038,35.22739,2026-05-02T02:57:30+00:00,,,,135091964,2026-05-02-584902384,,2026-05-02T03:00:00+00:00,8128084,3445442608,8218,30568,42,2026/05/02/02/58,2208632,0
306,0,,7795980058,31.863052,35.227405,2026-05-02T02:58:30+00:00,,,,135091964,2026-05-02-584902384,,2026-05-02T03:00:00+00:00,8128084,3445442608,8218,30568,42,2026/05/02/02/59,2208633,0
306,0,,7795980166,31.863055,35.227376,2026-05-02T02:59:30+00:00,,,,135091964,2026-05-02-584902384,,2026-05-02T03:00:00+00:00,8128084,3445442608,8218,30568,42,2026/05/02/03/00,2208634,2
253,350,,7795980281,31.86145,35.224327,2026-05-02T03:00:31+00:00,,,,135091964,2026-05-02-584902384,,2026-05-02T03:00:00+00:00,8128084,3445442608,8218,30568,42,2026/05/02/03/01,2208635,58
